Dia;Valor
21.nov.2024;4,07
22.nov.2024;4,07
25.nov.2024;4,03
26.nov.2024;4,01
27.nov.2024;4,05
28.nov.2024;4,03
29.nov.2024;4,04
02.dic.2024;4,03
03.dic.2024;4,03
04.dic.2024;4,03
05.dic.2024;4,09
06.dic.2024;4,07
09.dic.2024;4,07
10.dic.2024;4,09
11.dic.2024;4,14
12.dic.2024;4,13
13.dic.2024;4,12
16.dic.2024;4,07
17.dic.2024;4,06
18.dic.2024;4,06
19.dic.2024;4,02
20.dic.2024;4,04
23.dic.2024;3,98
24.dic.2024;4,01
26.dic.2024;3,99
27.dic.2024;4,01
30.dic.2024;4,01
02.ene.2025;4,02
03.ene.2025;3,92
06.ene.2025;3,94
07.ene.2025;3,98
08.ene.2025;4,03
09.ene.2025;4,03
10.ene.2025;4,04
13.ene.2025;4,07
14.ene.2025;4,08
15.ene.2025;4,07
16.ene.2025;4,1
17.ene.2025;4,11
20.ene.2025;4,14
21.ene.2025;4,12
22.ene.2025;4,16
23.ene.2025;4,16
24.ene.2025;4,13
27.ene.2025;4,14
28.ene.2025;4,15
29.ene.2025;4,07
30.ene.2025;4,02
31.ene.2025;4,06
03.feb.2025;4,09
04.feb.2025;4,05
05.feb.2025;4,07
06.feb.2025;4,09
07.feb.2025;4,13
10.feb.2025;4,15
11.feb.2025;4,21
12.feb.2025;4,23
13.feb.2025;4,19
14.feb.2025;4,24
17.feb.2025;4,28
18.feb.2025;4,3
19.feb.2025;4,23
20.feb.2025;4,26
21.feb.2025;4,28
24.feb.2025;4,32
25.feb.2025;4,32
26.feb.2025;4,3
27.feb.2025;4,25
28.feb.2025;4,29
03.mar.2025;4,26
04.mar.2025;4,24
05.mar.2025;4,26
06.mar.2025;4,23
07.mar.2025;4,35
10.mar.2025;4,42
11.mar.2025;4,36
12.mar.2025;4,31
13.mar.2025;4,37
14.mar.2025;4,42
17.mar.2025;4,42
18.mar.2025;4,41
19.mar.2025;4,44
20.mar.2025;4,47
21.mar.2025;4,51
24.mar.2025;4,48
25.mar.2025;4,45
26.mar.2025;4,5
27.mar.2025;4,58
28.mar.2025;4,48
31.mar.2025;4,45
01.abr.2025;4,42
02.abr.2025;4,38
03.abr.2025;4,38
04.abr.2025;4,38
07.abr.2025;4,23
08.abr.2025;3,95
09.abr.2025;3,94
10.abr.2025;3,91
11.abr.2025;3,89
14.abr.2025;4,08
15.abr.2025;4,17
16.abr.2025;4,15
17.abr.2025;4,14
21.abr.2025;4,16
22.abr.2025;4,16
23.abr.2025;4,16
24.abr.2025;4,24
25.abr.2025;4,25
28.abr.2025;4,26
29.abr.2025;4,25
30.abr.2025;4,27
02.may.2025;4,28
05.may.2025;4,19
06.may.2025;4,26
07.may.2025;4,26
08.may.2025;4,34
09.may.2025;4,28
12.may.2025;4,3
13.may.2025;4,31
14.may.2025;4,33
15.may.2025;4,36
16.may.2025;4,36
19.may.2025;4,36
20.may.2025;4,3
22.may.2025;4,33
23.may.2025;4,33
26.may.2025;4,32
27.may.2025;4,37
28.may.2025;4,37
29.may.2025;4,37
30.may.2025;4,36
02.jun.2025;4,36
03.jun.2025;4,33
04.jun.2025;4,39
05.jun.2025;4,39
06.jun.2025;4,39
09.jun.2025;4,46
10.jun.2025;4,43
11.jun.2025;4,49
12.jun.2025;4,46
13.jun.2025;4,4
16.jun.2025;4,44
17.jun.2025;4,41
18.jun.2025;4,44
19.jun.2025;4,44
23.jun.2025;4,43
24.jun.2025;4,49
25.jun.2025;4,51
26.jun.2025;4,45
27.jun.2025;4,45
30.jun.2025;4,64
01.jul.2025;4,59
02.jul.2025;4,56
03.jul.2025;4,56
04.jul.2025;4,59
07.jul.2025;4,56
08.jul.2025;4,52
09.jul.2025;4,49
10.jul.2025;4,46
11.jul.2025;4,38
14.jul.2025;4,4
15.jul.2025;4,37
17.jul.2025;4,34
18.jul.2025;4,34
21.jul.2025;4,36
22.jul.2025;4,41
23.jul.2025;4,44
24.jul.2025;4,47
25.jul.2025;4,48
28.jul.2025;4,46
29.jul.2025;4,41
30.jul.2025;4,42
31.jul.2025;4,42
01.ago.2025;4,38
04.ago.2025;4,34
05.ago.2025;4,35
06.ago.2025;4,37
07.ago.2025;4,34
08.ago.2025;4,36
11.ago.2025;4,36
12.ago.2025;4,4
13.ago.2025;4,38
14.ago.2025;4,42
18.ago.2025;4,41
19.ago.2025;4,39
20.ago.2025;4,37
21.ago.2025;4,35
22.ago.2025;4,37
25.ago.2025;4,37
26.ago.2025;4,41
27.ago.2025;4,41
28.ago.2025;4,42
29.ago.2025;4,38
01.sept.2025;4,42
02.sept.2025;4,46
03.sept.2025;4,44
04.sept.2025;4,5
05.sept.2025;4,49
08.sept.2025;4,46
09.sept.2025;4,46
10.sept.2025;4,46
11.sept.2025;4,46
12.sept.2025;4,52
15.sept.2025;4,53
16.sept.2025;4,53
17.sept.2025;4,59
22.sept.2025;4,57
23.sept.2025;4,5
24.sept.2025;4,49
25.sept.2025;4,49
26.sept.2025;4,67
29.sept.2025;4,64
30.sept.2025;4,6
01.oct.2025;4,71
02.oct.2025;4,64
03.oct.2025;4,69
06.oct.2025;4,74
07.oct.2025;4,85
08.oct.2025;4,81
09.oct.2025;4,86
10.oct.2025;4,83
13.oct.2025;4,92
14.oct.2025;4,76
15.oct.2025;5,01
16.oct.2025;4,82
17.oct.2025;4,84
20.oct.2025;4,82
21.oct.2025;4,8
22.oct.2025;4,84
23.oct.2025;4,81
24.oct.2025;4,83
27.oct.2025;4,92
28.oct.2025;4,96
29.oct.2025;4,99
30.oct.2025;5
03.nov.2025;5,06
04.nov.2025;4,93
05.nov.2025;4,91
06.nov.2025;4,82
07.nov.2025;4,83
10.nov.2025;4,83
11.nov.2025;4,85
12.nov.2025;4,89
13.nov.2025;4,9
14.nov.2025;4,96
17.nov.2025;4,97
18.nov.2025;4,92
19.nov.2025;4,87
20.nov.2025;4,85
21.nov.2025;4,86
24.nov.2025;4,86
25.nov.2025;4,89
26.nov.2025;4,9
27.nov.2025;4,91
28.nov.2025;4,98
01.dic.2025;4,97
02.dic.2025;5,1
03.dic.2025;5,14
04.dic.2025;5,09
05.dic.2025;5,25
09.dic.2025;5,22
10.dic.2025;5,28
11.dic.2025;5,21
12.dic.2025;5,25
15.dic.2025;5,4
16.dic.2025;5,23
17.dic.2025;5,28
18.dic.2025;5,25
19.dic.2025;5,32
22.dic.2025;5,34
23.dic.2025;5,39
24.dic.2025;5,41
26.dic.2025;5,48
29.dic.2025;5,53
30.dic.2025;5,53
